NO,RUTE (ASAL),RUTE (TUJUAN)
358,Wamena (WMX),Jayapura (DJJ)
359,Yogyakarta (YIA),Denpasar (DPS)
360,Yogyakarta (YIA),Pontianak (PNK)
361,Bengkulu (BKS),Bandung (BDO)
362,Jakarta (CGK),Ambon (AMQ)
363,Jakarta (CGK),Banyuwangi (BWX)
364,Jakarta (CGK),Yogyakarta (JOG)
365,Jakarta (CGK),Luwuk (LUW)
366,Jakarta (CGK),Palangkaraya (PKY)
367,Jakarta (CGK),Surabaya (SUB)
368,Jakarta (CGK),Yogyakarta (YIA)
369,Denpasar (DPS),Ambon (AMQ)
370,Dumai (DUM),Batam (BTH)
371,Jakarta-HLP (HLP),Batam (BTH)
372,Yogyakarta (JOG),Banjarmasin (BDJ)
373,Majalengka (KJT),Banjarmasin (BDJ)
374,Medan (KNO),Jambi (DJB)
375,Kupang (KOE),Atambua (ABU)
376,Labuhan Bajo (LBJ),Denpasar (DPS)
377,"Praya, Lombok (LOP)",Jakarta-HLP (HLP)
378,Manado (MDC),Ambon (AMQ)
379,Mamuju (MJU),Balikpapan (BPN)
380,Malang (MLG),Jakarta-HLP (HLP)
381,Namlea (NAM),Ambon (AMQ)
382,Oksibil (OKL),Jayapura (DJJ)
383,Padang Pariaman (PDG),Yogyakarta (JOG)
384,Pekanbaru (PKU),Batam (BTH)
385,Palangkaraya (PKY),Balikpapan (BPN)
386,Palembang (PLM),Jakarta-HLP (HLP)
387,Palu (PLW),Gorontalo (GTO)
388,Pontianak (PNK),Ketapang (KTG)
389,Solo (SOC),Denpasar (DPS)
390,Sorong (SOQ),Jayapura (DJJ)
391,Semarang (SRG),Karimun Jawa (KWB)
392,Surabaya (SUB),Bandung (BDO)
393,Surabaya (SUB),Yogyakarta (JOG)
394,Surabaya (SUB),Padang Pariaman (PDG)
395,Surabaya (SUB),Solo (SOC)
396,Timika (TIM),Langgur (LUV)
397,Tanjung Selor (TJS),Balikpapan (BPN)
398,Tanjung Pinang (TNJ),Anambas (LMU)
399,Tasikmalaya (TSY),Jakarta-HLP (HLP)
400,TAKENGON (TXE),Medan (KNO)
401,Makassar (UPG),Balikpapan (BPN)
402,Makassar (UPG),Kotabaru (KBU)
403,Makassar (UPG),Luwuk (LUW)
404,Makassar (UPG),Palu (PLW)
405,Makassar (UPG),Timika (TIM)
406,Wamena (WMX),Timika (TIM)
407,Yogyakarta (YIA),Jakarta-HLP (HLP)
408,Tanjung Redeb (BEJ),Tarakan (TRK)
409,Jakarta (CGK),Samarinda (SRI)
410,Makassar (UPG),Labuhan Bajo (LBJ)
