Source.Name,Column1,Column2,Column3,Column4,INTERNATIONAL,Column6,Column7,Column8,Column9
20220101095002pdf_1-14 Januari 2022.pdf,NO,LOCATION,CITY,IATA CODE,FLIGHT PRICE,"DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE","DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE
ONE TIME CUSTOMER","DOMESTIC FLIGHT
PRICE INTO
PLANE/NOT INTO
PLANE",
20220101095002pdf_1-14 Januari 2022.pdf,,,,,,(incl. VAT+Gov Tax),(incl. VAT+Gov Tax),(incl. VAT+Gov Tax),
20220101095002pdf_1-14 Januari 2022.pdf,,,,,(USCents / Liter),(Rp / Liter),(Rp / Liter),(USCents / Liter),
20220115104611pdf_15-31 Januari 2022.pdf,37,DEPATI AMIR,PANGKAL PINANG,PGK,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,38,ISKANDAR,PANGKALAN BUN,PKN,"77.50","12,011.67","12,044.34",84.16,
20220115104611pdf_15-31 Januari 2022.pdf,39,SULTAN SYARIF KASIM II,PEKANBARU,PKU,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,40,TJILIK RIWUT,PALANGKARAYA,PKY,77.50,"12,011.67","12,044.34",84.16,
20220115104611pdf_15-31 Januari 2022.pdf,41,SULTAN MAHMUD BADARUDDIN II,PALEMBANG,PLM,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,42,MUTIARA,PALU,PLW,78.90,"12,243.30","12,276.60",85.70,
20220115104611pdf_15-31 Januari 2022.pdf,43,SUPADIO,PONTIANAK,PNK,77.50,"12,011.67","12,044.34",84.16,
20220115104611pdf_15-31 Januari 2022.pdf,44,H. ASAN,SAMPIT,SMQ,77.50,"12,011.67","12,044.34",84.16,
20220115104611pdf_15-31 Januari 2022.pdf,45,ADISUMARMO,SOLO,SOC,76.60,"11,868.28","11,900.56",83.17,
20220115104611pdf_15-31 Januari 2022.pdf,46,SORONG DARATAN,SORONG,SOQ,79.10,"12,276.39","12,309.78",85.92,
20220115104611pdf_15-31 Januari 2022.pdf,47,ACHMAD YANI,SEMARANG,SRG,76.60,"11,868.28","11,900.56",83.17,
20220115104611pdf_15-31 Januari 2022.pdf,48,JUANDA,SURABAYA,SUB,74.90,"11,603.56","11,635.12",81.29,
20220115104611pdf_15-31 Januari 2022.pdf,49,RADEN INTEN II,BANDAR LAMPUNG,TKG,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,50,KIJANG,TANJUNG PINANG,TNJ,78.80,"12,243.30","12,276.60",85.70,
20220115104611pdf_15-31 Januari 2022.pdf,52,JUWATA,TARAKAN,TRK,77.50,"12,011.67","12,044.34",84.16,
20220115104611pdf_15-31 Januari 2022.pdf,52,BABULLAH,TERNATE,TTE,79.10,"12,276.39","12,309.78",85.92,
20220115104611pdf_15-31 Januari 2022.pdf,53,HASANUDDIN,UJUNG PANDANG,UPG,77.70,"12,044.76","12,077.52",84.38,
20220115104611pdf_15-31 Januari 2022.pdf,54,MAU HAU,WAINGAPU,WGP,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,55,ISWAHYUDI,MADIUN,WIAR (ICAO),78.70,"12,232.27","12,265.54",85.70,
20220115104611pdf_15-31 Januari 2022.pdf,56,DUMATUBUN,TUAL,LUV,81.50,"12,596.26","12,630.52",88.24,
20220115104611pdf_15-31 Januari 2022.pdf,57,SILANGIT,SIBORONG-BORONG,DTB,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,58,KALIMARAU,BERAU,BEJ,77.50,"12,011.67","12,044.34",84.16,
20220115104611pdf_15-31 Januari 2022.pdf,59,KOMODO,LABUAN BAJO,LBJ,78.10,"12,110.94","12,143.88",84.82,
20220115104611pdf_15-31 Januari 2022.pdf,60,KUALANAMU,DELI SERDANG,KNO,77.70,"12,033.73","12,066.46",84.27,
20220115104611pdf_15-31 Januari 2022.pdf,61,TAMPA PADANG,MAMUJU,MJU,79.70,"12,353.60","12,387.20",86.48,
20220115104611pdf_15-31 Januari 2022.pdf,62,F.L. TOBING,PINANGSORI,FLZ,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,63,MOZES KILANGIN,TIMIKA,TIM,79.10,"12,276.39","12,309.78",85.92,
20220115104611pdf_15-31 Januari 2022.pdf,64,H.A.S. HANANDJOEDDIN,TANJUNG PANDAN,TJQ,79.70,"12,485.96","12,519.92",87.47,
20220115104611pdf_15-31 Januari 2022.pdf,65,BLIMBINGSARI,BANYUWANGI,BWX,78.40,"12,155.06","12,188.12",85.15,
20220115104611pdf_15-31 Januari 2022.pdf,66,TAMBOLAKA,SUMBA BARAT,TMC,79.60,"12,386.69","12,420.38",86.70,
20220115104611pdf_15-31 Januari 2022.pdf,67,BINAKA,GUNUNGSITOLI,GNS,78.40,"12,155.06","12,188.12",85.15,0
20220115104611pdf_15-31 Januari 2022.pdf,68,KULONPROGO,YOGYAKARTA,YIA,78.40,"12,166.09","12,199.18",85.15,0
20220115104611pdf_15-31 Januari 2022.pdf,69,KUABANG,HALMAHERA UTARA,KAZ,84.30,"13,048.49","13,083.98",91.44,0
20220115104611pdf_15-31 Januari 2022.pdf,70,JENDERAL BESAR SOEDIRMAN,PURBALINGGA,PWL,76.60,"11,868.28","11,900.56",83.17,
20220115104611pdf_15-31 Januari 2022.pdf,71,MATHILDA BATLAYERI,SAUMLAKI,SXK,86.00,"13,401.45","13,437.90",93.87,
20220201022838pdf_1-14 Februari 2022.pdf,1,APT PRANOTO,SAMARINDA,AAP,80.00,"12,452.87","12,486.74",86.92,
20220201022838pdf_1-14 Februari 2022.pdf,2,PATTIMURA,AMBON,AMQ,81.60,"12,717.59","12,752.18",88.79,
20220201022838pdf_1-14 Februari 2022.pdf,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,80.00,"12,452.87","12,486.74",86.92,
20220201022838pdf_1-14 Februari 2022.pdf,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,78.70,"12,243.30","12,276.60",85.48,
20220201022838pdf_1-14 Februari 2022.pdf,5,FRANS KAISIEPO,BIAK,BIK,81.60,"12,717.59","12,752.18",88.79,
20220201022838pdf_1-14 Februari 2022.pdf,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,81.50,"12,816.86","12,851.72",89.45,
20220201022838pdf_1-14 Februari 2022.pdf,7,M. SALAHUDDIN,BIMA,BMU,80.90,"12,596.26","12,630.52",87.91,
20220201022838pdf_1-14 Februari 2022.pdf,8,SEPINGGAN,BALIKPAPAN,BPN,78.80,"12,254.33","12,287.66",85.48,
20220201022838pdf_1-14 Februari 2022.pdf,9,HANG NADIM,BATAM,BTH,78.30,"11,073.12","11,103.24",77.23,
20220201022838pdf_1-14 Februari 2022.pdf,10,SULTAN ISKANDAR MUDA,BANDA ACEH,BTJ,80.90,"12,596.26","12,630.52",87.91,
20220201022838pdf_1-14 Februari 2022.pdf,11,SOEKARNO HATTA,CENGKARENG,CGK,72.20,"11,206.48","11,236.96",78.20,
20220201022838pdf_1-14 Februari 2022.pdf,12,TUNGGUL WULUNG,CILACAP,CXP,79.10,"12,309.48","12,342.96",85.92,
20220201022838pdf_1-14 Februari 2022.pdf,13,SULTAN THAHA,JAMBI,DJB,83.50,"13,125.70","13,161.40",91.66,
20220201022838pdf_1-14 Februari 2022.pdf,14,SENTANI,JAYAPURA,DJJ,81.60,"12,717.59","12,752.18",88.79,
20220201022838pdf_1-14 Februari 2022.pdf,15,NGURAH RAI,DENPASAR,DPS,77.90,"12,121.97","12,154.94",84.60,
20220201022838pdf_1-14 Februari 2022.pdf,16,PINANG KAMPAI,DUMAI,DUM,80.90,"12,596.26","12,630.52",87.91,
20220201022838pdf_1-14 Februari 2022.pdf,17,H. AROEBOESMAN,ENDE,ENE,80.90,"12,596.26","12,630.52",87.91,
20220201022838pdf_1-14 Februari 2022.pdf,18,JALALUDDIN,GORONTALO,GTO,81.50,"12,684.50","12,719.00",88.57,
20220201022838pdf_1-14 Februari 2022.pdf,19,HALIM PERDANAKUSUMA,JAKARTA,HLP,77.30,"12,033.73","12,066.46",83.94,
20220201022838pdf_1-14 Februari 2022.pdf,20,ADISUCIPTO,YOGYAKARTA,JOG,77.90,"12,110.94","12,143.88",84.49,
