NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
67,Jakarta (CGK) - Palu (PLW),1211.0,125430.0,187095.0,2466893.0,3557.0,"67,0%"
68,Jakarta (CGK) - Siborong-borong (DTB),1223.0,124119.0,193986.0,1896976.0,18412.0,"64,0%"
69,Jakarta (CGK) - Tanjung Pinang (TNJ),1459.0,123188.0,238933.0,3145099.0,71792.0,"51,6%"
70,Padang Pariaman (PDG) - Jakarta-HLP (HLP),1076.0,122797.0,168026.0,748654.0,30046.0,"73,1%"
71,Jakarta (CGK) - Ambon (AMQ),1125.0,114247.0,188328.0,2283066.0,114598.0,"60,7%"
72,Merauke (MKQ) - Jayapura (DJJ),934.0,111392.0,181186.0,1053963.0,622.0,"61,5%"
73,Wamena (WMX) - Jayapura (DJJ),12856.0,108505.0,154560.0,78590178.0,5029.0,"70,2%"
74,Jayapura (DJJ) - Biak (BIK),886.0,105522.0,161905.0,906649.0,3.0,"65,2%"
75,Pontianak (PNK) - Ketapang (KTG),2010.0,104087.0,144768.0,152095.0,13098.0,"71,9%"
76,Tanjung Pandan (TJQ) - Pangkal Pinang (PGK),1404.0,102432.0,147855.0,575542.0,9351.0,"69,3%"
77,Makassar (UPG) - Bau Bau (BUW),2153.0,97638.0,149500.0,192130.0,19412.0,"65,3%"
78,Sorong (SOQ) - Jayapura (DJJ),708.0,96706.0,143921.0,146523.0,454.0,"67,2%"
79,Palembang (PLM) - Batam (BTH),910.0,95047.0,156788.0,658987.0,439.0,"60,6%"
80,Semarang (SRG) - Pangkalan Bun (PKN),1680.0,94624.0,128907.0,310185.0,19006.0,"73,4%"
81,Medan (KNO) - Bandung (BDO),1020.0,94387.0,175782.0,1041187.0,351.0,"53,7%"
82,Solo (SOC) - Denpasar (DPS),635.0,90351.0,121552.0,41990.0,307.0,"74,3%"
83,Malang (MLG) - Jakarta-HLP (HLP),858.0,89568.0,133866.0,45806.0,282.0,"66,9%"
84,Makassar (UPG) - Luwuk (LUW),789.0,89557.0,127857.0,925716.0,74254.0,"70,0%"
85,Makassar (UPG) - Biak (BIK),860.0,86804.0,158483.0,985980.0,,"54,8%"
86,Kupang (KOE) - Ende (ENE),1604.0,82833.0,112278.0,216112.0,38462.0,"73,8%"
87,Yogyakarta (JOG) - Jakarta-HLP (HLP),1790.0,82729.0,117368.0,24987.0,,"70,5%"
88,Jakarta (CGK) - Labuhan Bajo (LBJ),918.0,82373.0,144474.0,491254.0,,"57,0%"
89,Kupang (KOE) - Denpasar (DPS),709.0,80346.0,141525.0,772730.0,805.0,"56,8%"
90,Waingapu (WGP) - Kupang (KOE),1618.0,77126.0,115190.0,315640.0,36899.0,"67,0%"
91,"Praya, Lombok (LOP) - Bima (BMU)",1312.0,76758.0,94464.0,51070.0,7219.0,"81,3%"
92,Palembang (PLM) - Pangkal Pinang (PGK),1097.0,75606.0,121320.0,347487.0,40547.0,"62,3%"
93,Jakarta-HLP (HLP) - Siborong-borong (DTB),592.0,75338.0,95838.0,613414.0,,"78,6%"
94,Jakarta (CGK) - Ternate (TTE),891.0,75294.0,142614.0,1669595.0,870.0,"52,8%"
95,Sorong (SOQ) - Manado (MDC),609.0,71268.0,128735.0,78033.0,321.0,"55,4%"
96,Surabaya (SUB) - Pontianak (PNK),503.0,71166.0,93651.0,654654.0,531.0,"76,0%"
97,Jakarta (CGK) - Jayapura (DJJ),789.0,69401.0,128765.0,1121670.0,151.0,"53,9%"
98,Langgur (LUV) - Ambon (AMQ),1267.0,67907.0,99978.0,299310.0,48480.0,"67,9%"
