Source.Name,Column1,Column2,Column3,Column4,Column5,Column6,Column7
20240201085703pdf_1-29 Februari 2024.pdf,67,BINAKA,GUNUNGSITOLI,GNS,89.40,"15,248.10","15,289.20"
20240201085703pdf_1-29 Februari 2024.pdf,68,KULONPROGO,YOGYAKARTA,YIA,90.30,"15,415.05","15,456.60"
20240201085703pdf_1-29 Februari 2024.pdf,69,KUABANG,HALMAHERA UTARA,KAZ,92.40,"15,804.60","15,847.20"
20240201085703pdf_1-29 Februari 2024.pdf,70,JENDERAL BESAR SOEDIRMAN,PURBALINGGA,PWL,90.40,"15,415.05","15,456.60"
20240201085703pdf_1-29 Februari 2024.pdf,71,MATHILDA BATLAYERI,SAUMLAKI,SXK,92.00,"15,804.60","15,847.20"
20240201085703pdf_1-29 Februari 2024.pdf,72,BUDIARTO,CURUG,BTO,89.70,-,#VALUE!
20240229235958pdf_1-31 Maret 2024.pdf,1,APT PRANOTO,SAMARINDA,AAP,91.70,"15,804.60","15,847.20"
20240229235958pdf_1-31 Maret 2024.pdf,2,PATTIMURA,AMBON,AMQ,93.40,"16,249.80","16,293.60"
20240229235958pdf_1-31 Maret 2024.pdf,3,SYAMSUDDIN NOOR,BANJARMASIN,BDJ,91.70,"15,804.60","15,847.20"
20240229235958pdf_1-31 Maret 2024.pdf,4,HUSEIN SASTRANEGARA,BANDUNG,BDO,91.70,"15,804.60","15,847.20"
20240229235958pdf_1-31 Maret 2024.pdf,5,FRANS KAISIEPO,BIAK,BIK,93.40,"16,116.24","16,159.68"
20240229235958pdf_1-31 Maret 2024.pdf,6,FATMAWATI SOEKARNOPUTRI,BENGKULU,BKS,91.10,"15,737.82","15,780.24"
20240229235958pdf_1-31 Maret 2024.pdf,7,M. SALAHUDDIN,BIMA,BMU,91.20,"15,726.69","15,769.08"
20240229235958pdf_1-31 Maret 2024.pdf,8,SEPINGGAN,BALIKPAPAN,BPN,90.70,"15,637.65","15,679.80"
