rute_id,kode_rute,bandara_1_id,bandara_2_id,kategori
147,BTW-UPG,27,226,DOMESTIK
148,BUU-CGK,28,36,DOMESTIK
149,BUU-DJB,28,50,DOMESTIK
150,BWN-SRI,30,196,INTERNASIONAL
151,BWX-CGK,31,36,DOMESTIK
152,BWX-DPS,31,55,DOMESTIK
153,BWX-SUB,31,197,DOMESTIK
154,BXB-SOQ,32,192,DOMESTIK
155,CAI-CGK,33,36,INTERNASIONAL
156,CAN-CGK,34,36,INTERNASIONAL
157,CAN-DPS,34,55,INTERNASIONAL
158,CAN-MDC,34,125,INTERNASIONAL
159,CBR-DPS,35,55,INTERNASIONAL
160,CGK-CMB,36,39,INTERNASIONAL
161,CGK-CTU,36,43,INTERNASIONAL
162,CGK-DHX,36,47,DOMESTIK
163,CGK-DJB,36,50,DOMESTIK
164,CGK-DJJ,36,51,DOMESTIK
165,CGK-DOH,36,54,INTERNASIONAL
166,CGK-DPS,36,55,DOMESTIK
167,CGK-DTB,36,57,DOMESTIK
168,CGK-DWC,36,60,INTERNASIONAL
169,CGK-DXB,36,61,INTERNASIONAL
170,CGK-FOC,36,66,INTERNASIONAL
171,CGK-GTO,36,70,DOMESTIK
172,CGK-HAK,36,71,INTERNASIONAL
173,CGK-HAN,36,72,INTERNASIONAL
174,CGK-HGH,36,73,INTERNASIONAL
175,CGK-HKG,36,74,INTERNASIONAL
176,CGK-HND,36,78,INTERNASIONAL
177,CGK-ICN,36,80,INTERNASIONAL
178,CGK-IST,36,81,INTERNASIONAL
179,CGK-JED,36,83,INTERNASIONAL
180,CGK-JHB,36,84,INTERNASIONAL
181,CGK-KCH,36,89,INTERNASIONAL
182,CGK-KDI,36,90,DOMESTIK
183,CGK-KIX,36,94,INTERNASIONAL
184,CGK-KJT,36,95,DOMESTIK
185,CGK-KMG,36,96,INTERNASIONAL
186,CGK-KNO,36,98,DOMESTIK
187,CGK-KOE,36,99,DOMESTIK
188,CGK-KUL,36,103,INTERNASIONAL
189,CGK-KWL,36,105,INTERNASIONAL
190,CGK-LBJ,36,108,DOMESTIK
191,CGK-LLJ,36,113,DOMESTIK
192,CGK-LOP,36,117,DOMESTIK
193,CGK-MCT,36,124,INTERNASIONAL
194,CGK-MDC,36,125,DOMESTIK
195,CGK-MED,36,126,INTERNASIONAL
196,CGK-MEL,36,127,INTERNASIONAL
197,CGK-MFM,36,129,INTERNASIONAL
198,CGK-MKW,36,132,DOMESTIK
199,CGK-MLG,36,134,DOMESTIK
200,CGK-MNL,36,136,INTERNASIONAL
201,CGK-NKG,36,144,INTERNASIONAL
202,CGK-NNG,36,145,INTERNASIONAL
203,CGK-NRT,36,148,INTERNASIONAL
204,CGK-PDG,36,156,DOMESTIK
205,CGK-PEK,36,157,INTERNASIONAL
206,CGK-PEN,36,158,INTERNASIONAL
207,CGK-PGK,36,159,DOMESTIK
208,CGK-PKU,36,163,DOMESTIK
209,CGK-PKY,36,164,DOMESTIK
210,CGK-PLM,36,165,DOMESTIK
211,CGK-PLW,36,166,DOMESTIK
212,CGK-PNH,36,167,INTERNASIONAL
213,CGK-PNK,36,168,DOMESTIK
214,CGK-PVG,36,174,INTERNASIONAL
215,CGK-RUH,36,183,INTERNASIONAL
216,CGK-SIN,36,186,INTERNASIONAL
217,CGK-SMQ,36,188,DOMESTIK
218,CGK-SOC,36,190,DOMESTIK
219,CGK-SOQ,36,192,DOMESTIK
220,CGK-SRG,36,195,DOMESTIK
221,CGK-SRI,36,196,INTERNASIONAL
222,CGK-SUB,36,197,DOMESTIK
223,CGK-SYD,36,202,INTERNASIONAL
224,CGK-SZB,36,203,INTERNASIONAL
225,CGK-SZX,36,204,INTERNASIONAL
226,CGK-TAS,36,205,INTERNASIONAL
227,CGK-TFU,36,207,INTERNASIONAL
228,CGK-TIM,36,209,DOMESTIK
229,CGK-TJQ,36,210,DOMESTIK
230,CGK-TKG,36,212,DOMESTIK
231,CGK-TNJ,36,216,DOMESTIK
232,CGK-TPE,36,217,INTERNASIONAL
233,CGK-TRK,36,218,DOMESTIK
234,CGK-TTE,36,221,DOMESTIK
235,CGK-UPG,36,226,DOMESTIK
236,CGK-WNZ,36,230,INTERNASIONAL
237,CGK-WUH,36,231,INTERNASIONAL
238,CGK-XMN,36,233,INTERNASIONAL
239,CGK-YIA,36,234,DOMESTIK
240,CJN-PCB,38,155,DOMESTIK
241,CNS-DPS,40,55,INTERNASIONAL
242,CPF-PCB,41,155,DOMESTIK
243,CPF-SUB,41,197,DOMESTIK
244,CSX-MDC,42,125,INTERNASIONAL
245,DEL-DPS,45,55,INTERNASIONAL
246,DEL-KNO,45,98,INTERNASIONAL
247,DEX-DJJ,46,51,DOMESTIK
248,DEX-WMX,46,228,DOMESTIK
249,DHX-DPS,47,55,DOMESTIK
250,DHX-UPG,47,226,DOMESTIK
251,DIL-DPS,48,55,INTERNASIONAL
252,DJB-KNO,50,98,DOMESTIK
253,DJB-PDG,50,156,DOMESTIK
254,DJB-PKU,50,163,DOMESTIK
255,DJB-PLM,50,165,DOMESTIK
256,DJB-TKG,50,212,DOMESTIK
257,DJB-YIA,50,234,DOMESTIK
258,DJJ-MKQ,51,131,DOMESTIK
259,DJJ-MKW,51,132,DOMESTIK
260,DJJ-NBX,51,142,DOMESTIK
261,DJJ-OKL,51,152,DOMESTIK
262,DJJ-SOQ,51,192,DOMESTIK
263,DJJ-SUB,51,197,DOMESTIK
264,DJJ-TIM,51,209,DOMESTIK
265,DJJ-TMH,51,215,DOMESTIK
266,DJJ-UPG,51,226,DOMESTIK
267,DJJ-WMX,51,228,DOMESTIK
268,DJJ-ZRI,51,235,DOMESTIK
269,DOB-LUV,53,119,DOMESTIK
270,DOH-DPS,54,55,INTERNASIONAL
271,DOH-KNO,54,98,INTERNASIONAL
272,DPS-DRW,55,56,INTERNASIONAL
273,DPS-DXB,55,61,INTERNASIONAL
274,DPS-FOC,55,66,INTERNASIONAL
275,DPS-HAN,55,72,INTERNASIONAL
276,DPS-HGH,55,73,INTERNASIONAL
277,DPS-HKG,55,74,INTERNASIONAL
278,DPS-HKT,55,75,INTERNASIONAL
279,DPS-HND,55,78,INTERNASIONAL
280,DPS-ICN,55,80,INTERNASIONAL
281,DPS-IST,55,81,INTERNASIONAL
282,DPS-JOG,55,86,DOMESTIK
283,DPS-KIX,55,94,INTERNASIONAL
284,DPS-KJT,55,95,DOMESTIK
285,DPS-KNO,55,98,DOMESTIK
286,DPS-KOE,55,99,DOMESTIK
287,DPS-KUL,55,103,INTERNASIONAL
288,DPS-LBJ,55,108,DOMESTIK
289,DPS-LOP,55,117,DOMESTIK
290,DPS-MDC,55,125,DOMESTIK
291,DPS-MEL,55,127,INTERNASIONAL
292,DPS-MNL,55,136,INTERNASIONAL
293,DPS-MOF,55,137,DOMESTIK
294,DPS-NKG,55,144,INTERNASIONAL
295,DPS-NRT,55,148,INTERNASIONAL
296,DPS-OOL,55,153,INTERNASIONAL
297,DPS-PEN,55,158,INTERNASIONAL
298,DPS-PHE,55,161,INTERNASIONAL
299,DPS-PLM,55,165,DOMESTIK
300,DPS-PNK,55,168,DOMESTIK
301,DPS-POM,55,169,INTERNASIONAL
302,DPS-PUS,55,173,INTERNASIONAL
303,DPS-PVG,55,174,INTERNASIONAL
304,DPS-SIN,55,186,INTERNASIONAL
305,DPS-SOC,55,190,DOMESTIK
306,DPS-SOQ,55,192,DOMESTIK
307,DPS-SRG,55,195,DOMESTIK
308,DPS-SUB,55,197,DOMESTIK
309,DPS-SVO,55,199,INTERNASIONAL
310,DPS-SWQ,55,200,DOMESTIK
311,DPS-SYD,55,202,INTERNASIONAL
312,DPS-SZX,55,204,INTERNASIONAL
313,DPS-TIM,55,209,DOMESTIK
314,DPS-TKG,55,212,DOMESTIK
315,DPS-TMC,55,214,DOMESTIK
316,DPS-TPE,55,217,INTERNASIONAL
317,DPS-UPG,55,226,DOMESTIK
318,DPS-WGP,55,227,DOMESTIK
