NO,RUTE,JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG,JUMLAH POS,L/F
53,CGK-AAP,2271.0,311665.0,376976.0,2107858.0,,82.7%
54,SOQ-MKW,2222.0,308214.0,400920.0,2137640.0,2301.0,76.9%
55,UPG-TIM,1983.0,306807.0,365678.0,1885129.0,913.0,83.9%
56,CGK-PLW,2332.0,302975.0,383202.0,4585414.0,,79.1%
57,SOC-DPS,1790.0,300895.0,371924.0,304250.0,208.0,80.9%
58,CGK-BTJ,2478.0,300484.0,398204.0,3663771.0,,75.5%
59,SUB-AAP,2020.0,286858.0,364958.0,1328926.0,3090.0,78.6%
60,MLG-HLP,2124.0,286699.0,348504.0,61376.0,,82.3%
61,YIA-HLP,2413.0,284937.0,376464.0,44824.0,,75.7%
62,PKU-HLP,2233.0,283254.0,357660.0,868689.0,,79.2%
63,KNO-HLP,2163.0,276260.0,350128.0,1908274.0,,78.9%
64,TIM-DJJ,2018.0,273518.0,369908.0,1955637.0,559.0,73.9%
65,UPG-AMQ,1916.0,272971.0,370286.0,2170660.0,3669.0,73.7%
66,KNO-BTJ,1936.0,270076.0,368991.0,1242358.0,18622.0,73.2%
67,UPG-DJJ,1872.0,264837.0,346044.0,1960760.0,6571.0,76.5%
68,WMX-DJJ,13559.0,260277.0,330439.0,81780596.0,332.0,78.8%
69,LOP-DPS,4375.0,259344.0,337100.0,163121.0,1344.0,76.9%
70,CGK-LBJ,2106.0,249981.0,345742.0,821832.0,,72.3%
71,SRG-BDJ,1616.0,246008.0,321642.0,1635332.0,3489.0,76.5%
72,SRG-HLP,1879.0,239427.0,305420.0,98173.0,,78.4%
73,BPN-BEJ,4427.0,234692.0,326840.0,816030.0,7217.0,71.8%
74,CGK-AMQ,1854.0,234014.0,309966.0,3222963.0,,75.5%
75,CGK-TNJ,1800.0,217700.0,300348.0,4767673.0,,72.5%
76,SUB-PKY,1386.0,217223.0,276930.0,986568.0,2606.0,78.4%
77,KNO-GNS,3736.0,213828.0,277724.0,589180.0,7168.0,77.0%
78,UPG-GTO,1481.0,209864.0,295603.0,941191.0,7940.0,71.0%
79,YIA-PKU,1439.0,208399.0,284153.0,1042236.0,66.0,73.3%
80,CGK-SOQ,1513.0,201560.0,241900.0,2398223.0,,83.3%
81,TJQ-PGK,1448.0,198556.0,232617.0,676275.0,36.0,85.4%
82,CGK-KOE,1472.0,193187.0,248144.0,2181808.0,,77.9%
83,PLM-PGK,1363.0,192860.0,222314.0,551460.0,21.0,86.8%
84,DJJ-BIK,1144.0,183450.0,223683.0,547677.0,200.0,82.0%
85,DPS-BPN,1235.0,183091.0,239827.0,551519.0,628.0,76.3%
86,CGK-MLG,1280.0,176563.0,220158.0,218146.0,,80.2%
