NO,RUTE ( PP),Jan-21,Feb-21,Mar-21,Apr-21,Mei-21,Jun-21,Jul-21,Agu-21,Sep-21,Okt-21,Nov-21,Des-21,TOTAL 2021,TOTAL 2020,TOTAL 2019
96,Surabaya (SUB) - Pontianak (PNK),2475.0,3203.0,1609.0,9126.0,7455.0,10886.0,414.0,234.0,6769.0,9366.0,9846.0,9783.0,71166.0,127165.0,288663.0
97,Jakarta (CGK) - Jayapura (DJJ),4423.0,2545.0,4184.0,4612.0,3923.0,5700.0,1959.0,1740.0,7345.0,10282.0,11111.0,11577.0,69401.0,80969.0,190985.0
98,Langgur (LUV) - Ambon (AMQ),3670.0,3348.0,5283.0,5586.0,3635.0,6540.0,2528.0,3142.0,6750.0,9047.0,8271.0,10107.0,67907.0,47499.0,98474.0
99,Jakarta-HLP (HLP) - Balikpapan (BPN),6689.0,6531.0,7706.0,7794.0,7227.0,11626.0,1512.0,,,5500.0,7584.0,2747.0,64916.0,78792.0,194559.0
100,Balikpapan (BPN) - Banjarmasin (BDJ),5854.0,5342.0,4538.0,6404.0,5651.0,7471.0,2351.0,2191.0,4408.0,5643.0,7708.0,7267.0,64828.0,111234.0,307648.0
101,Jakarta (CGK) - Malang (MLG),3864.0,4305.0,7311.0,8073.0,4941.0,6287.0,865.0,4004.0,874.0,3652.0,9555.0,10764.0,64495.0,130133.0,478459.0
102,Surabaya (SUB) - Pangkalan Bun (PKN),5981.0,6368.0,7334.0,6325.0,3920.0,10551.0,1852.0,1724.0,2219.0,4015.0,6144.0,6826.0,63259.0,60828.0,141792.0
103,Palu (PLW) - Balikpapan (BPN),10321.0,6616.0,7101.0,8795.0,7896.0,10948.0,1018.0,,827.0,4177.0,2909.0,2568.0,63176.0,97634.0,154463.0
104,Pekanbaru (PKU) - Medan (KNO),7063.0,5744.0,7924.0,8386.0,6586.0,8874.0,1325.0,,258.0,3934.0,5743.0,6404.0,62241.0,138355.0,292028.0
105,Makassar (UPG) - Merauke (MKQ),5063.0,3850.0,4788.0,5421.0,3686.0,8006.0,2393.0,2059.0,4588.0,7781.0,6973.0,7531.0,62139.0,50525.0,88804.0
106,Yogyakarta (YIA) - Pekanbaru (PKU),5649.0,4565.0,5689.0,7910.0,6224.0,9068.0,2632.0,2087.0,1802.0,4330.0,4869.0,7173.0,61998.0,46912.0,
107,Jakarta (CGK) - Sorong (SOQ),6457.0,6007.0,7326.0,7107.0,5666.0,6011.0,793.0,1012.0,2272.0,2456.0,7122.0,7644.0,59873.0,95266.0,193212.0
108,Pekanbaru (PKU) - Jakarta-HLP (HLP),1825.0,4334.0,8498.0,7101.0,5652.0,9270.0,1041.0,,1254.0,6887.0,6276.0,6504.0,58642.0,46625.0,135757.0
109,Ternate (TTE) - Manado (MDC),6390.0,4839.0,6645.0,5750.0,4847.0,7295.0,1668.0,1045.0,2709.0,4147.0,5074.0,7167.0,57576.0,62159.0,150279.0
110,Surabaya (SUB) - Jayapura (DJJ),5200.0,4211.0,2906.0,5492.0,2901.0,7070.0,5069.0,2093.0,6682.0,5935.0,4188.0,5029.0,56776.0,2675.0,
111,Semarang (SRG) - Balikpapan (BPN),5751.0,4541.0,7065.0,8376.0,6486.0,8586.0,292.0,,,,5534.0,9351.0,55982.0,58681.0,120846.0
