waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2020,207,DOMESTIK,17145,16474,33619,990002,947457,1937459,73996,6524980,7383303,13908283,7556541,36407628,43964169,0,0,0
2021,207,DOMESTIK,16377,16593,32.97,753801,639039,1392840,37642,6054817,5581521,11636338,8801346,67980973,76782319,0,0,0
2022,207,DOMESTIK,7753,7754,15507,499677,477011,976688,24337,3182348,2721033,5903381,2311572,19509830,21821402,0,0,0
2023,207,DOMESTIK,20776,20969,41745,1851212,1801618,3652830,130361,11579667,10463887,22043554,5603127,39627175,45230302,0,0,0
2024,207,DOMESTIK,19131,19331,38462,1660711,1674894,3423314,68.66,10100148,9233378,19333526,7080159,45701903,52782062,0,0,0
2020,207,INTERNASIONAL,931,702,1633,845,1789,2634,0,0,0,0,2780359,1452,2781811,0,0,0
2021,207,INTERNASIONAL,945,733,1678,615,1269,1884,0,0,0,0,3329677,37222,3366899,0,0,0
2022,207,INTERNASIONAL,360,344,704,835,640,1475,0,0,0,0,164457,0,164457,0,0,0
2023,207,INTERNASIONAL,1407,1175,2582,3167,4.75,7917,0,0,0,0,1974404,880,1975284,0,0,0
2024,207,INTERNASIONAL,1349,1118,2467,2632,4147,6779,0,14102,0,14102,2352211,0,2352211,0,0,0
2020,211,DOMESTIK,4084,4093,8177,188525,181935,370.46,7551,810582,809.4,1619982,334511,2569693,2904204,0,0,0
2021,211,DOMESTIK,2973,2971,5944,207606,190984,398.59,12681,1550658,1520143,3070801,318.44,3431829,3750269,0,0,0
2022,211,DOMESTIK,3271,3258,6529,369238,330834,700072,38975,3351123,3258424,6609547,349939,2964845,3314784,0,0,0
2023,211,DOMESTIK,3078,3067,6145,386147,347899,734046,41647,3364163,3399634,6763797,198604,3955404,4154008,0,0,0
