bandara_id,kode_iata,nama_bandara,kota,provinsi,negara
78,BOM,Mumbai,Mumbai,,
79,BTW,Batulicin,Batulicin,,
80,BUU,Bungo,Bungo,,
81,BWN,Bandar Sri Begawan,Bandar Sri Begawan,,
82,BXB,Teluk Bintoni,Teluk Bintoni,,
83,CAI,Cairo,Cairo,,
84,CAN,Guangzhou,Guangzhou,,
85,CBR,Canberra,Canberra,,
86,CGO,Zhengshou,Zhengshou,,
87,CJN,Pangandaran,Pangandaran,,
88,CMB,Colombo,Colombo,,
89,CNS,Cairns,Cairns,,
90,CSX,Changsha,Changsha,,
91,CTU,Chengdu,Chengdu,,
92,DEL,Delhi,Delhi,,
93,DEX,Yahukimo,Yahukimo,,
94,DHX,Dhoho,Dhoho,,
95,DIL,Dili,Dili,,
96,DMK,Bangkok-Don Mueang,Bangkok-Don Mueang,,
97,DOB,Dobo,Dobo,,
98,DOH,Doha,Doha,,
99,DRW,Darwin,Darwin,,
100,DVO,"Catitipan, Barangay Buhangin","Catitipan, Barangay Buhangin",,
101,DWC,Dubai,Dubai,,
102,DXB,Dubai,Dubai,,
103,FOC,Fuzhou,Fuzhou,,
104,GHS,Melak,Melak,,
105,HAK,Haikou,Haikou,,
106,HAN,Hanoi,Hanoi,,
107,HGH,Hangzhou,Hangzhou,,
108,HKG,Hongkong,Hongkong,,
109,HKT,Phuket,Phuket,,
110,HND,Haneda,Haneda,,
111,IAX,Kep Talaud,Kep Talaud,,
112,ICN,Incheon,Incheon,,
113,IST,Istanbul,Istanbul,,
114,JED,Jeddah,Jeddah,,
115,JHB,Johor Baru,Johor Baru,,
116,KCH,Kuching,Kuching,,
117,KEI,Mappi,Mappi,,
118,KFR,Kufar-Seram Timur,Kufar-Seram Timur,,
119,KHN,Nanchang,Nanchang,,
120,KIX,Osaka,Osaka,,
121,KMG,Kunming,Kunming,,
122,KUL,Kuala Lumpur,Kuala Lumpur,,
123,KWB,Karimun Jawa,Karimun Jawa,,
124,KWL,Guilin,Guilin,,
125,LBJ,Labuhan Bajo,Labuhan Bajo,,
126,LGK,Langkawi,Langkawi,,
127,LHR,London,London,,
128,LKI,Lasikin,Lasikin,,
129,LLO,,,,
130,LOP,"Praya, Lombok","Praya, Lombok",,
131,LSW,Lhokseumawe,Lhokseumawe,,
132,LUX,Findel,Findel,,
133,MAA,Chennai,Chennai,,
134,MCT,Muscat,Muscat,,
135,MED,Medinah,Medinah,,
136,MEL,Melbourne,Melbourne,,
137,MEQ,Meulaboh,Meulaboh,,
138,MFM,Macau,Macau,,
139,MKQ,Merauke,Merauke,,
140,MKZ,Malaka,Malaka,,
141,MNA,Melangguane,Melangguane,,
142,MNL,Manila,Manila,,
143,MOH,Morowall,Morowall,,
144,MWK,Matak,Matak,,
145,NAM,Namlea,Namlea,,
146,NBX,Nabire,Nabire,,
147,NGO,Nagoya,Nagoya,,
148,NKG,Nanjing,Nanjing,,
149,NNG,Nanning,Nanning,,
150,NRE,Namrole,Namrole,,
151,NRT,Narita,Narita,,
152,NTI,Bintuni,Bintuni,,
153,OKL,Oksibil,Oksibil,,
154,OOL,Gold Coast,Gold Coast,,
155,PCB,Jakarta,Jakarta,,
156,PEK,Beijing,Beijing,,
157,PEN,Penang,Penang,,
158,PER,Perth,Perth,,
159,PHE,Port Hedland,Port Hedland,,
160,PNH,Phnom Penh,Phnom Penh,,
161,POM,Port Moresby,Port Moresby,,
162,PSU,Putu Sibau,Putu Sibau,,
163,PUM,Pomala,Pomala,,
164,PUS,Busan,Busan,,
165,PVG,Pudong,Pudong,,
166,PWL,Banyumas,Banyumas,,
167,PXA,Lahat,Lahat,,
168,RTU,Kalimantan Timur,Kalimantan Timur,,
169,RUH,Riyadh,Riyadh,,
170,SGN,Ho Chi Minh City,Ho Chi Minh City,,
171,SIN,Singapore,Singapore,,
172,SQN,Sanana,Sanana,,
173,SRI,Samarinda,Samarinda,,
174,SVO,Oblast Moskwa,Oblast Moskwa,,
175,SYD,Sydney,Sydney,,
176,SZB,Subang,Subang,,
177,SZX,Shenzhen,Shenzhen,,
178,TAS,Tashkent,Tashkent,,
179,TBX,Tambelan,Tambelan,,
180,TFU,Chengdu,Chengdu,,
181,TFY,Peakon Seral,Peakon Seral,,
182,TKG,Bandar Lampung,Bandar Lampung,,
183,TMC,Tambolaka,Tambolaka,,
184,TMH,Tanah Merah,Tanah Merah,,
185,TPE,Taipei,Taipei,,
186,TWU,Tawau,Tawau,,
187,TXB,Teluk Bintoni,Teluk Bintoni,,
188,UOL,Buol,Buol,,
189,WMX,Wamena,Wamena,,
190,WNI,Wangi-Wangi,Wangi-Wangi,,
191,WNZ,Wenzhou,Wenzhou,,
192,WUH,Wuhan,Wuhan,,
193,XIY,Xian,Xian,,
194,XMN,Xiamen,Xiamen,,
195,YIA,Yogyakarta,Yogyakarta,,
196,BIK,FRANS KAISIEPO,BIAK,PAPUA,INDONESIA
197,RTG,FRANS SALES LEGA,RUTENG,NUSA TENGGARA TIMUR,INDONESIA
198,MOF,FRANS SEDA,MAUMERE,NUSA TENGGARA TIMUR,INDONESIA
199,GLX,GAMAR MALAMO,GALELA,MALUKU UTARA,INDONESIA
200,,GEBE,HALMAHERA UTARA,MALUKU UTARA,INDONESIA
201,LKA,GEWAYANTANA,LARANTUKA,NUSA TENGGARA TIMUR,INDONESIA
