waktu_id,maskapai_id,kategori_rute,aircraft_km,aircraft_departure,aircraft_hours,passenger_carried,freight_carried,passenger_km,available_seat_km,passenger_load_factor,ton_km_passenger,ton_km_freight,ton_km_mail,ton_km_total,available_ton_km,weight_load_factor
2022,91,INTERNASIONAL,872.0,1.0,12902.833333333334,312658.0,1343.0,4.0,4.0,9.0,281219.0,115895.0,1.0,397606.0,660067.0,6.0
2023,91,INTERNASIONAL,14851.0,449.0,17563.5,438334.0,10839.0,491277.0,772701.0,4.1,396993.0,110887.0,971.0,509851.0,842088.0,0.55
2024,91,INTERNASIONAL,14948.0,1458.0,17418.0,442520.0,12466.0,4536371.0,4854766.0,93.44,401699.0,127589.0,1621.0,530909.0,821927.0,64.59
2020,92,INTERNASIONAL,0.0,0.0,304.6666666666667,139.0,0.0,20400.0,60753.0,0.0,0.0,0.0,0.0,0.0,15559.0,0.0
2021,92,INTERNASIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2022,92,INTERNASIONAL,468.0,7.0,0.0,0.0,3.0,0.0,0.0,6.0,6.0,234.0,0.0,6.0,0.0,4.98
2023,92,INTERNASIONAL,1.0,2.0,612.0,11466.0,6.0,74323.0,118872.0,2.52,690.0,3.0,1.0,924.0,27717.0,2.0
2024,92,INTERNASIONAL,0.027,158.0,1343.0,20.94,545.0,135.731,255.953,53.03,12221.0,0.533,26.0,15.88,61.454,6.0
2020,94,INTERNASIONAL,484.0,295.0,1028.0333333333333,237.0,47.0,54159.0,85424.0,1.87,333.0,61.0,0.0,470.0,18987.0,3.5
2021,94,INTERNASIONAL,8.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,6.0
2022,94,INTERNASIONAL,925.0,456.0,5074.666666666667,215104.0,339.0,576497.0,802165.0,8.44,46131.0,284.0,0.0,46992.0,74005.0,0.8
2023,94,INTERNASIONAL,1.0,4.0,13095.016666666666,528254.0,3.0,1373171.0,2006532.0,7.0,109855.0,7.0,0.0,113139.0,186076.0,6.0
2024,94,INTERNASIONAL,1499.0,396.0,16889.85,696773.0,60.0,1827804.0,2479343.0,3.72,146222.0,435.0,0.0,153657.0,228545.0,7.23
2020,95,INTERNASIONAL,7.0,39.0,707.7666666666667,6378.0,1.0,55875.0,96104.0,5.0,0.0,2.0,0.0,943.0,612.0,5.0
2021,95,INTERNASIONAL,30.0,3.0,654.3,0.0,443.0,0.0,88720.0,8.92,5.0,750.0,0.0,7.0,1.0,0.7
2022,95,INTERNASIONAL,1.0,84.0,1055.0833333333333,33060.0,1.0,62712.0,106436.0,7.0,72.0,1.0,0.0,822.0,5427.0,5.0
2023,95,INTERNASIONAL,392.0,732.0,1984.1833333333334,102095.0,15.0,194066.0,256525.0,5.65,14770.0,936.0,0.0,16706.0,29829.0,6.01
2024,95,INTERNASIONAL,1.388,730.0,1968.8666666666666,104.95,1.28,199.092,255.705,77.86,15024.0,2.428,0.0,17.452,29.343,59.0
2020,96,INTERNASIONAL,5.0,254.0,3069.65,2883.0,46.0,0.0,0.0,6.69,5308.0,9.0,0.0,25517.0,90939.0,1.57
2021,96,INTERNASIONAL,637.0,3.0,0.0,0.0,0.0,860075.0,992147.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0
2022,96,INTERNASIONAL,1.0,759.0,311.0,191303.0,0.0,2371246.0,2895466.0,1.9,77406.0,0.0,0.0,77406.0,245219.0,9.82
2023,96,INTERNASIONAL,6450.0,3.0,22314.416666666668,541491.0,0.0,2.0,2.0,8.0,213412.0,0.0,0.0,213412.0,715642.0,3.0
2024,96,INTERNASIONAL,15417.0,447.0,20488.083333333332,530262.0,0.0,370470.0,721595.0,7.1,213342.0,0.0,0.0,213342.0,670632.0,1.81
2022,98,INTERNASIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2023,98,INTERNASIONAL,4.0,4.0,6.666666666666667,0.0,21.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,0.0,4.0
2020,99,INTERNASIONAL,34.0,83.0,769.0,873.0,97.0,86150.0,115037.0,2.15,8.0,0.0,0.0,846.0,14588.0,5.68
2021,99,INTERNASIONAL,7.0,1.0,444.1666666666667,2.0,1.0,35818.0,62660.0,8.0,344.0,4.0,0.0,1.0,12783.0,5.0
2022,99,INTERNASIONAL,0.0,823.0,975.25,9627.0,172.0,119204.0,191810.0,3.41,7.0,542.0,0.0,344.0,40284.0,3.93
2023,99,INTERNASIONAL,9.0,2.0,9376.916666666666,283914.0,8.0,1088953.0,1305573.0,8.0,8065.0,3.0,30.0,82637.0,153237.0,6.0
2024,99,INTERNASIONAL,643.0,509.0,13143.75,396305.0,19.0,1521122.0,1708554.0,9.03,106353.0,198.0,0.0,109551.0,179518.0,1.03
