waktu_id,rute_id,jumlah_penerbangan,jumlah_penumpang,kapasitas_seat,jumlah_barang_kg,jumlah_pos_kg,load_factor_pct
2020,359,14,1524,2520,0.0,0.0,60.48
2020,360,99,13008,37829,653484.0,8832.0,34.39
2020,361,1064,87943,199317,1466869.0,48064.0,44.12
2020,362,2696,367601,524874,311927.0,0.0,70.04
2020,363,1731,114812,225134,172895.0,503.0,51.0
2020,364,3114,246289,408254,167038.0,4186.0,60.33
2020,365,170,14776,36550,45703.0,652.0,40.43
2020,366,1261,190423,336365,1933827.0,44576.0,56.61
2020,367,100,3091,7200,16.0,0.0,42.93
2020,368,475,63393,94051,537781.0,0.0,67.4
2020,369,402,22053,37318,108743.0,0.0,59.09
2020,370,38,5791,7182,0.0,0.0,80.63
2020,371,181,37003,57250,1067697.0,7670.0,64.63
2020,373,105,28003,35640,313532.0,17820.0,78.57
2020,375,1636,212160,295564,90751.0,102.0,71.78
2020,376,20,1671,3520,0.0,0.0,47.47
2020,377,162,7964,16960,16963.0,2774.0,46.96
2020,381,127,24705,35369,726195.0,4650.0,69.85
2020,382,250,33871,52532,121693.0,0.0,64.48
2020,383,2853,430904,660601,1964399.0,35412.0,65.23
2020,384,842,91611,172045,141769.0,108.0,53.25
2020,386,849,39937,83300,163792.0,0.0,47.94
2020,387,5349,552364,962668,1032437.0,71855.0,57.38
2020,388,102,35548,46607,8683.0,80386.0,76.27
2020,390,908,167965,219790,2189067.0,21821.0,76.42
2020,391,99,14976,19965,84691.0,4880.0,75.01
2020,392,345,24027,56234,552741.0,40084.0,42.73
2020,394,1001,62065,89394,173988.0,0.0,69.43
2020,395,436,63362,129180,3721339.0,13576.0,49.05
2020,396,1802,193203,337707,1371338.0,45284.0,57.21
2020,397,748,33886,59760,85793.0,0.0,56.7
2020,398,30,5693,6242,1304.0,4250.0,91.2
2020,399,10,3112,3600,20348.0,0.0,86.44
2020,401,562,28863,93760,138952.0,16.0,30.78
2020,402,595,59981,107100,454307.0,0.0,56.0
2020,403,166,5033,11952,1186.0,0.0,42.11
2020,404,68,5833,12240,0.0,0.0,47.66
2020,405,168,5825,12096,0.0,0.0,48.16
2020,406,194,10380,13968,137.0,0.0,74.31
