waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2022,27,DOMESTIK,962,958,1.92,25036,24863,49899,0,74223,67116,141339,982,0,982,0,69,69
2023,27,DOMESTIK,766,762,1528,24291,23329,47.62,0,97531,72053,169584,1586,2,1588,0,0,0
2024,27,DOMESTIK,362,362,724,18301,16.09,34391,9,95593,68643,164236,2928,407,3335,0,0,0
2020,24,DOMESTIK,16109,16116,32225,1355286,974176,2329462,409547,6328516,5600441,11928957,28810884,14918026,43728910,0,0,0
2021,24,DOMESTIK,14.29,14308,28598,1326118,945149,2271267,337723,7852739,7043924,14896663,33151468,14685712,47837180,0,0,0
2022,24,DOMESTIK,18669,18.42,37089,1891410,1614742,3506152,267728,15050604,12434348,27484952,31624515,10258117,41882632,0,0,0
2023,24,DOMESTIK,23037,22847,45884,2535366,2080646,4616012,408676,20225012,16409816,36634828,31633691,13365753,44999444,0,0,0
2024,24,DOMESTIK,24117,24148,48265,2664209,2652158,5316367,348.43,21255626,17777327,39032953,37786047,15317500,53103547,1811,50,1861
2020,24,INTERNASIONAL,243,248,491,5012,4.77,9782,0,114875,58636,173511,1732171,403804,2135975,0,0,0
2021,24,INTERNASIONAL,340,331,671,110,130,240,0,16.24,8032,24272,3895914,463626,4359540,0,0,0
2022,24,INTERNASIONAL,415,692,1107,2688,2853,5541,18,74093,53499,127592,4670390,947869,5618259,0,0,0
2023,24,INTERNASIONAL,712,921,1633,36237,41399,77636,4,538007,357076,895083,3628444,356622,3985066,0,0,0
2024,24,INTERNASIONAL,773,849,1622,45.99,46.57,92.56,0,679.7,488105,1167805,2323067,386149,2709216,0,0,0
2020,1,DOMESTIK,3326,3321,6647,182902,179617,362519,0,644151,711003,1355154,267095,95166,362261,0,0,0
2021,1,DOMESTIK,2723,2722,5445,246659,244078,490737,0,1743546,1460184,3203730,2244613,839649,3084262,0,0,0
2022,1,DOMESTIK,3446,3446,6892,357198,362411,719609,0,3114169,2475296,5589465,2604761,756274,3361035,0,0,0
2023,1,DOMESTIK,3558,3546,7104,380096,361169,741265,0,3157674,2437234,5594908,2966780,590719,3557499,19,6,25
2024,1,DOMESTIK,4548,4555,9103,418005,418584,836589,0,3430461,2870744,6301205,3295860,918596,4214456,0,0,0
2020,14,DOMESTIK,1609,1603,3212,97008,101.76,198768,9,500989,437705,938694,582371,510796,1093167,0,0,0
2021,14,DOMESTIK,1211,1214,2425,108847,110319,219166,0,477631,419339,896.97,839755,423364,1263119,0,0,0
2022,14,DOMESTIK,2256,2256,4512,134405,135086,269491,7,876712,781144,1657856,763619,316626,1080245,9,0,9
2023,14,DOMESTIK,3035,3034,6069,166428,167026,333454,4,1125836,943448,2069284,617352,356872,974224,2,0,2
2024,14,DOMESTIK,2747,2735,5482,203696,202181,405877,55,1517839,1185764,2703603,1164007,263839,1427846,0,0,0
2020,182,DOMESTIK,140,140,280,410,445,855,0,4352,5099,9451,1691,14,1705,0,0,0
2021,182,DOMESTIK,253,253,506,1283,1331,2614,6,10525,10444,20969,127,134,261,1,0,1
